Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_Positive,Total_Negative,Total_Neutral
2019-10-01,2614,211,840,2155,133,894,223,25,70,3665,3182,318
2019-10-02,2204,413,768,2037,189,813,264,33,60,3385,3039,357
2019-10-03,7640,764,2262,1021,141,404,534,96,249,10666,1566,879
2019-10-04,2431,328,841,1447,128,478,1000,47,137,3600,2053,1184
2019-10-05,1714,186,613,1106,101,558,285,44,110,2513,1765,439
2019-10-06,3866,336,1349,1159,139,451,1696,194,804,5551,1749,2694
2019-10-07,3162,304,1108,2150,254,864,945,81,473,4574,3268,1499
2019-10-08,4281,358,1709,947,184,308,253,41,65,6348,1439,359
2019-10-09,2008,257,790,3273,239,1195,424,52,159,3055,4707,635
2019-10-10,2034,248,864,8907,456,2010,169,41,64,3146,11373,274
2019-10-11,2071,159,858,1764,195,353,1287,88,814,3088,2312,2189
2019-10-12,2114,257,1087,368,68,124,338,58,153,3458,560,549
2019-10-13,3188,347,1338,872,107,271,244,32,82,4873,1250,358
2019-10-14,1601,183,649,634,80,243,1510,61,734,2433,957,2305
2019-10-15,5205,587,1931,7124,559,2310,389,40,75,7723,9993,504
2019-10-16,2105,384,817,1365,103,385,287,28,69,3306,1853,384
2019-10-17,2988,402,1161,1826,187,522,755,63,296,4551,2535,1114
2019-10-18,2800,339,1144,2036,222,675,1126,82,277,4283,2933,1485
2019-10-19,2704,344,725,949,176,307,288,65,71,3773,1432,424
2019-10-20,4388,360,1719,2305,209,805,286,42,50,6467,3319,378
2019-10-21,10052,627,5734,3389,229,1398,276,61,66,16413,5016,403
2019-10-22,15615,1839,4966,2900,394,1513,195,46,54,22420,4807,295
2019-10-23,5914,544,2353,2024,181,554,267,52,77,8811,2759,396
2019-10-24,22424,2404,6765,2877,322,1065,572,44,276,31593,4264,892
2019-10-25,8137,543,3511,2072,349,800,457,71,136,12191,3221,664
2019-10-26,2703,277,1243,849,139,368,358,50,164,4223,1356,572
2019-10-27,5660,563,1909,754,103,268,316,30,117,8132,1125,463
2019-10-28,6370,754,2352,1476,231,460,227,38,50,9476,2167,315
2019-10-29,26759,4606,17248,13073,2360,3314,819,85,347,48613,18747,1251
2019-10-30,18664,2080,9480,5088,386,2113,317,55,90,30224,7587,462
2019-10-31,10546,1820,4440,3196,410,1926,265,35,93,16806,5532,393
2019-11-01,7740,1080,3648,7780,558,2930,1958,210,1445,12468,11268,3613
2019-11-02,3949,670,1673,745,184,302,756,88,413,6292,1231,1257
2019-11-03,5452,846,2252,1313,154,673,130,36,32,8550,2140,198
2019-11-04,8290,685,3993,3162,179,1529,5229,171,1687,12968,4870,7087
2019-11-05,5052,491,2235,2666,176,1131,561,53,120,7778,3973,734
2019-11-06,7182,690,3545,2723,214,998,383,53,172,11417,3935,608
2019-11-07,14285,866,9449,1575,184,1085,751,84,518,24600,2844,1353
2019-11-08,9159,2460,4004,10262,687,2723,362,79,154,15623,13672,595
2019-11-09,9048,710,4415,3283,174,2233,317,60,249,14173,5690,626
2019-11-10,6495,386,2509,1164,101,372,159,37,69,9390,1637,265
2019-11-11,13897,1653,4931,3649,266,1568,1031,92,452,20481,5483,1575
2019-11-12,5845,585,2566,6379,372,2091,1723,112,936,8996,8842,2771
2019-11-13,14068,1002,7104,1824,168,717,2723,178,885,22174,2709,3786
2019-11-14,13599,1661,5666,7435,694,3528,2719,832,1367,20926,11657,4918
2019-11-15,6944,1007,2767,3022,375,1052,1380,254,567,10718,4449,2201
2019-11-16,4705,688,2013,4968,557,1764,1705,324,666,7406,7289,2695
2019-11-17,16640,1001,7013,29179,2789,27933,13775,2060,4122,24654,59901,19957
2019-11-18,16920,1311,7649,3501,494,1306,7675,652,6311,25880,5301,14638
2019-11-19,33914,2056,14774,4055,383,2159,3697,437,1614,50744,6597,5748
2019-11-20,9698,1056,5802,3530,442,1513,1514,242,1023,16556,5485,2779
2019-11-21,7331,1523,2587,2693,333,870,2120,312,845,11441,3896,3277
2019-11-22,7915,896,3117,3636,332,1889,2009,260,845,11928,5857,3114
2019-11-23,8678,801,5091,3302,406,2173,2551,302,1401,14570,5881,4254
2019-11-24,5226,692,2594,3554,584,1200,2505,432,918,8512,5338,3855
2019-11-25,9820,1654,4302,3602,412,1654,6407,718,2292,15776,5668,9417
2019-11-26,8099,872,4001,2448,411,1120,1080,278,468,12972,3979,1826
2019-11-27,10620,1204,3250,4650,511,2264,1649,248,545,15074,7425,2442
2019-11-28,10236,1136,3977,4060,576,1812,4713,642,1859,15349,6448,7214
2019-11-29,5633,746,2032,3268,379,1261,6259,456,1460,8411,4908,8175
2019-11-30,5727,616,2352,5427,300,2166,2539,185,563,8695,7893,3287
2019-12-01,6799,768,2762,2525,398,1070,1837,381,620,10329,3993,2838
2019-12-02,9669,961,4716,4378,444,1679,1843,371,940,15346,6501,3154
2019-12-03,21718,2422,5307,2947,375,1133,901,205,408,29447,4455,1514
2019-12-04,6218,714,2302,1296,248,396,1444,192,464,9234,1940,2100
2019-12-05,6203,1245,4025,3004,455,1856,3202,488,1455,11473,5315,5145
2019-12-06,6287,778,3280,1712,289,684,1226,282,635,10345,2685,2143
2019-12-07,4751,685,1598,1839,268,770,4752,3922,1737,7034,2877,10411
2019-12-08,14815,1374,5673,12264,968,5314,2624,442,952,21862,18546,4018
2019-12-09,11476,1170,5992,7320,807,2751,3935,521,1548,18638,10878,6004
2019-12-10,14020,1498,7298,32775,9290,12591,2164,434,774,22816,54656,3372
2019-12-11,57078,4958,19611,7431,773,2570,4598,605,1589,81647,10774,6792
2019-12-12,147717,9847,45807,32712,1534,9764,8606,845,2620,203371,44010,12071
2019-12-13,371806,33378,94192,107545,11651,28171,171015,14342,43670,499376,147367,229027
2019-12-14,85075,8414,22357,15712,1684,5959,23019,2174,6153,115846,23355,31346
2019-12-15,44281,6158,12756,11724,1455,3626,6158,850,1952,63195,16805,8960
2019-12-16,25067,3922,7942,9288,1277,3826,8854,1829,2554,36931,14391,13237
2019-12-17,28487,2199,10438,3267,472,1266,8629,1065,3178,41124,5005,12872
2019-12-18,19749,1742,5399,3542,501,1257,22618,923,5926,26890,5300,29467
2019-12-19,9535,1541,3347,5240,512,1589,2598,354,1169,14423,7341,4121
2019-12-20,44016,2642,14346,6575,585,2472,1492,269,561,61004,9632,2322
2019-12-21,3645,524,1505,2012,259,652,1140,316,367,5674,2923,1823
2019-12-22,8600,733,3057,19238,933,6506,4846,841,1250,12390,26677,6937
2019-12-23,4865,472,2394,8294,1058,1850,1067,152,427,7731,11202,1646
2019-12-24,2460,288,497,874,154,304,771,84,334,3245,1332,1189
2019-12-25,1701,679,1002,1642,169,630,408,65,66,3382,2441,539
2019-12-26,1819,244,585,3741,144,1000,487,63,188,2648,4885,738
2019-12-27,4777,413,1965,2101,223,952,769,108,287,7155,3276,1164
2019-12-28,2363,391,907,969,142,332,1106,236,381,3661,1443,1723
2019-12-29,2583,337,868,1101,338,234,1228,126,383,3788,1673,1737
2019-12-30,7820,841,1781,1956,446,1222,713,105,199,10442,3624,1017
2019-12-31,16293,681,6040,3551,292,1001,438,110,138,23014,4844,686
2020-01-01,4540,500,2245,6788,550,2059,838,153,314,7285,9397,1305
2020-01-02,2561,366,877,2190,252,1060,849,207,391,3804,3502,1447
2020-01-03,2955,739,994,990,138,347,1399,100,364,4688,1475,1863
2020-01-04,4347,604,900,1909,195,1124,897,124,269,5851,3228,1290
2020-01-05,2400,324,682,2438,452,857,753,141,305,3406,3747,1199
2020-01-06,6347,706,3008,11426,632,6740,424,81,148,10061,18798,653
2020-01-07,5301,541,2078,758,162,220,8297,242,6908,7920,1140,15447
2020-01-08,11504,964,3788,2553,279,1012,1009,109,694,16256,3844,1812
2020-01-09,5604,1143,1567,2992,333,1040,1928,154,686,8314,4365,2768
2020-01-10,10000,921,3969,720,131,180,647,102,308,14890,1031,1057
2020-01-11,7971,829,2114,2899,290,1950,6595,281,8760,10914,5139,15636
2020-01-12,21336,1973,5609,2741,225,2017,4102,221,4656,28918,4983,8979
2020-01-13,7312,1604,5284,3873,276,2651,833,69,332,14200,6800,1234
2020-01-14,6491,619,2521,3213,307,1146,1906,184,999,9631,4666,3089
2020-01-15,6785,890,3327,1835,221,713,2574,276,787,11002,2769,3637
2020-01-16,4205,554,2303,1890,224,431,914,128,348,7062,2545,1390
2020-01-17,9608,509,8215,2547,203,2587,1437,114,737,18332,5337,2288
2020-01-18,8491,520,5814,2650,439,1186,7674,352,3903,14825,4275,11929
2020-01-19,2427,353,706,389,85,89,365,67,163,3486,563,595
2020-01-20,2483,369,870,2691,186,970,2208,150,1338,3722,3847,3696
2020-01-21,2876,283,867,3935,271,2326,912,122,252,4026,6532,1286
2020-01-22,7210,670,2965,1013,130,334,522,133,166,10845,1477,821
2020-01-23,4999,435,1995,1748,172,622,1306,107,444,7429,2542,1857
2020-01-24,7427,489,3851,6692,1257,2389,3926,1799,1046,11767,10338,6771
2020-01-25,10969,643,2922,2564,256,883,380,67,304,14534,3703,751
2020-01-26,14522,2269,5110,1846,180,643,2492,184,733,21901,2669,3409
2020-01-27,3849,407,2314,5591,346,1685,1383,139,1057,6570,7622,2579
2020-01-28,6641,572,4317,9908,616,4774,1821,130,1270,11530,15298,3221
2020-01-29,4098,1159,1108,2464,248,814,1020,179,267,6365,3526,1466
2020-01-30,3124,435,1263,7063,464,7802,1205,136,1020,4822,15329,2361
2020-01-31,17301,1540,5926,3001,434,675,2160,423,484,24767,4110,3067
2020-02-01,4578,955,1582,9248,401,4512,1205,202,702,7115,14161,2109
2020-02-02,12431,801,3338,4037,260,2498,497,94,156,16570,6795,747
2020-02-03,4218,440,1116,5796,322,2297,735,88,210,5774,8415,1033
2020-02-04,7270,584,2018,4762,272,1882,2954,158,3809,9872,6916,6921
2020-02-05,6363,546,3668,2985,217,2321,2337,157,1484,10577,5523,3978
2020-02-06,3199,370,1118,3405,500,1390,3247,157,3361,4687,5295,6765
2020-02-07,4533,423,2439,3080,234,1405,2030,106,2140,7395,4719,4276
2020-02-08,7648,908,2103,1611,196,679,2798,210,2440,10659,2486,5448
2020-02-09,12575,628,5909,7682,559,1627,1505,182,630,19112,9868,2317
2020-02-10,11673,1339,3793,3144,376,685,3458,434,1908,16805,4205,5800
2020-02-11,8973,884,3913,3947,379,1587,783,150,223,13770,5913,1156
2020-02-12,11290,1074,3836,3411,497,1437,2700,372,3334,16200,5345,6406
2020-02-13,15172,2104,3467,1649,246,422,4727,320,2529,20743,2317,7576
2020-02-14,5719,464,2576,2493,256,1092,2317,175,1959,8759,3841,4451
2020-02-15,3416,408,1765,5691,339,926,3282,136,2998,5589,6956,6416
2020-02-16,6261,615,2358,6396,1347,2552,4635,262,4790,9234,10295,9687
2020-02-17,5178,457,3911,5097,390,1958,1148,173,431,9546,7445,1752
2020-02-18,9064,869,2209,3019,407,1015,1173,165,481,12142,4441,1819
2020-02-19,7078,865,3029,1757,232,565,11556,1397,4499,10972,2554,17452
2020-02-20,11194,1622,3573,1906,248,610,8889,685,2792,16389,2764,12366
2020-02-21,4457,603,1474,2694,313,1270,6284,549,4928,6534,4277,11761
2020-02-22,5730,731,2129,2311,238,1082,1144,129,722,8590,3631,1995
2020-02-23,6076,709,1323,10823,468,3028,5878,255,4695,8108,14319,10828
2020-02-24,6442,752,2201,3631,342,1573,2344,186,1429,9395,5546,3959
2020-02-25,8631,2491,2955,3429,338,1063,4288,666,3682,14077,4830,8636
2020-02-26,6296,523,2394,7043,431,3173,8975,543,3433,9213,10647,12951
2020-02-27,24611,4235,8868,6651,682,3040,4523,1679,1434,37714,10373,7636
2020-02-28,5002,621,2413,2934,323,1135,3227,396,2355,8036,4392,5978
2020-02-29,8509,1220,3356,3504,321,1488,7086,509,5958,13085,5313,13553
2020-03-01,7294,1281,2561,4994,493,1992,8830,677,4708,11136,7479,14215
2020-03-02,7734,1019,3318,6905,678,3200,3304,312,1873,12071,10783,5489
2020-03-03,8825,1266,3538,10842,1366,3905,2846,535,939,13629,16113,4320
2020-03-04,18733,1465,6953,4928,632,1508,7423,639,4364,27151,7068,12426
2020-03-05,11471,861,3364,6318,788,2070,2986,552,1151,15696,9176,4689
2020-03-06,4448,675,1255,2912,349,958,6837,482,4825,6378,4219,12144
2020-03-07,6416,625,1966,2742,282,1683,3680,314,2134,9007,4707,6128
2020-03-08,6463,607,2812,5832,498,2003,7878,348,7617,9882,8333,15843
2020-03-09,14504,1204,5657,5843,477,3032,3485,440,2017,21365,9352,5942
2020-03-10,21343,3047,10590,18454,1076,8713,5546,600,3015,34980,28243,9161
2020-03-11,20245,2160,8761,7476,855,2800,11371,1172,3931,31166,11131,16474
2020-03-12,22450,2056,7952,19321,2084,5850,18252,1880,6605,32458,27255,26737
2020-03-13,17516,1630,5840,4691,510,1941,15338,845,7182,24986,7142,23365
2020-03-14,15356,1101,4997,3751,586,1376,9285,3699,4060,21454,5713,17044
2020-03-15,24356,1295,10288,8267,645,3512,4579,475,1187,35939,12424,6241
2020-03-16,9955,1242,3054,14483,2667,4261,4894,578,1819,14251,21411,7291
2020-03-17,7624,1231,3690,15636,835,4908,5620,651,2231,12545,21379,8502
2020-03-18,17606,1496,6528,9724,1580,4446,6141,609,2209,25630,15750,8959
2020-03-19,6899,868,1958,3209,418,1319,8600,455,2073,9725,4946,11128
2020-03-20,9762,984,2902,20351,1037,7166,9030,793,3446,13648,28554,13269
2020-03-21,10891,800,3078,19534,917,7062,2194,260,963,14769,27513,3417
2020-03-22,4180,507,1022,2949,511,1045,7947,1453,2758,5709,4505,12158
2020-03-23,33310,1632,9282,10602,775,3755,19882,1666,6461,44224,15132,28009
2020-03-24,6293,1580,2545,5699,405,3022,4441,568,2587,10418,9126,7596
2020-03-25,22424,2114,5238,3076,371,1009,3005,407,1309,29776,4456,4721
2020-03-26,12202,1573,3787,3408,407,1251,6658,3973,3210,17562,5066,13841
2020-03-27,131171,9767,57765,48919,1723,15406,12008,1220,3747,198703,66048,16975
2020-03-28,28796,1803,9332,4868,1268,1312,2693,616,1023,39931,7448,4332
2020-03-29,23836,2228,8889,2404,367,701,4689,1609,1722,34953,3472,8020
2020-03-30,13502,1793,4270,6247,801,2911,3239,691,1592,19565,9959,5522
2020-03-31,8671,1673,3664,5919,433,3629,3733,817,1805,14008,9981,6355
2020-04-01,19017,1021,6792,6020,681,1925,3307,536,1699,26830,8626,5542
2020-04-02,12162,1386,3655,7484,1256,2540,4017,519,1726,17203,11280,6262
2020-04-03,13163,1340,4656,3813,658,1501,5309,590,2198,19159,5972,8097
2020-04-04,31945,3507,10857,6673,1171,1957,4775,762,1231,46309,9801,6768
2020-04-05,46216,4793,20407,7101,1036,2463,16599,1917,8281,71416,10600,26797
2020-04-06,42136,3388,8474,23704,2276,6041,167994,12225,57919,53998,32021,238138
2020-04-07,26443,2870,6856,37204,1503,6079,31675,3007,8717,36169,44786,43399
2020-04-08,17026,1393,4915,18476,2023,6512,11598,1601,2854,23334,27011,16053
